v_crucero,t_frenada,num_cars,t_reaccion,a_brake,t_dissolve,max_en_atasco
28.0,3.0,55,1.5,-10.0,NaN,16
28.0,3.0,55,1.5,-14.0,NaN,19
28.0,3.0,55,2.5,-6.0,NaN,50
28.0,3.0,55,2.5,-10.0,NaN,53
28.0,3.0,55,2.5,-14.0,NaN,53
28.0,6.0,25,1.0,-6.0,NaN,4
28.0,6.0,25,1.0,-10.0,NaN,5
28.0,6.0,25,1.0,-14.0,NaN,5
28.0,6.0,25,1.5,-6.0,NaN,5
28.0,6.0,25,1.5,-10.0,NaN,5
28.0,6.0,25,1.5,-14.0,NaN,5
28.0,6.0,25,2.5,-6.0,NaN,5
28.0,6.0,25,2.5,-10.0,NaN,5
28.0,6.0,25,2.5,-14.0,NaN,5
28.0,6.0,38,1.0,-6.0,NaN,7
28.0,6.0,38,1.0,-10.0,NaN,8
28.0,6.0,38,1.0,-14.0,NaN,8
28.0,6.0,38,1.5,-6.0,NaN,8
28.0,6.0,38,1.5,-10.0,NaN,8
28.0,6.0,38,1.5,-14.0,NaN,9
28.0,6.0,38,2.5,-6.0,NaN,9
28.0,6.0,38,2.5,-10.0,NaN,10
28.0,6.0,38,2.5,-14.0,NaN,10
28.0,6.0,55,1.0,-6.0,NaN,26
28.0,6.0,55,1.0,-10.0,NaN,27
28.0,6.0,55,1.0,-14.0,NaN,28
28.0,6.0,55,1.5,-6.0,NaN,19
28.0,6.0,55,1.5,-10.0,NaN,20
28.0,6.0,55,1.5,-14.0,NaN,21
28.0,6.0,55,2.5,-6.0,NaN,53
28.0,6.0,55,2.5,-10.0,NaN,53
28.0,6.0,55,2.5,-14.0,NaN,53
28.0,10.0,25,1.0,-6.0,NaN,6
28.0,10.0,25,1.0,-10.0,NaN,6
28.0,10.0,25,1.0,-14.0,NaN,7
28.0,10.0,25,1.5,-6.0,NaN,6
28.0,10.0,25,1.5,-10.0,NaN,6
28.0,10.0,25,1.5,-14.0,NaN,7
28.0,10.0,25,2.5,-6.0,NaN,6
28.0,10.0,25,2.5,-10.0,NaN,6
28.0,10.0,25,2.5,-14.0,NaN,6
28.0,10.0,38,1.0,-6.0,NaN,12
28.0,10.0,38,1.0,-10.0,NaN,13
28.0,10.0,38,1.0,-14.0,NaN,13
28.0,10.0,38,1.5,-6.0,NaN,10
28.0,10.0,38,1.5,-10.0,NaN,11
28.0,10.0,38,1.5,-14.0,NaN,11
28.0,10.0,38,2.5,-6.0,NaN,12
28.0,10.0,38,2.5,-10.0,NaN,12
28.0,10.0,38,2.5,-14.0,NaN,13
28.0,10.0,55,1.0,-6.0,NaN,29
28.0,10.0,55,1.0,-10.0,NaN,29
28.0,10.0,55,1.0,-14.0,NaN,29
28.0,10.0,55,1.5,-6.0,NaN,23
28.0,10.0,55,1.5,-10.0,NaN,23
28.0,10.0,55,1.5,-14.0,NaN,24
28.0,10.0,55,2.5,-6.0,NaN,54
28.0,10.0,55,2.5,-10.0,NaN,54
28.0,10.0,55,2.5,-14.0,NaN,54
