segundo,estado_sistema,vel_media,vel_min,vel_max,v_diff,car_mean_velocity,truck_mean_velocity,densidad_veh_km,flujo_veh_h,eficiencia_pct,coches_parados,coches_atasco,coches_ajustando,coches_libre,gap_min,gap_medio,gap_max,gap_critico_medio,presion_gaps,max_parados,max_en_atasco,max_v_diff,num_cars,num_trucks,truck_pct
125,LIBRE,23.635115864832073,22.6063352536386,24.81760502873423,2.21126977509563,23.635115864832073,0.0,15.917230401910068,1354.3401052669394,94.5404634593283,0,0,36,4,43.45493644190674,62.825,180.09069750036412,26.135115864832073,0.41599866080114717,1,5,23.813434002894276,40,0,0.0
126,LIBRE,23.636110844396974,22.614754423188778,24.815679472419976,2.2009250492311985,23.636110844396974,0.0,15.917230401910068,1354.3971196152663,94.5444433775879,0,0,36,4,43.52098581777636,62.825,179.096367623459,26.136110844396974,0.4160144981201269,1,5,23.813434002894276,40,0,0.0
127,LIBRE,23.63709631076774,22.6233907527604,24.81372741298924,2.1903366602288408,23.63709631076774,0.0,15.917230401910068,1354.453588838263,94.54838524307095,0,0,36,4,43.59041174900676,62.825,178.10397784690008,26.13709631076774,0.4160301840154037,1,5,23.813434002894276,40,0,0.0
128,LIBRE,23.638072446448717,22.632219728259365,24.811748451811678,2.1795287235523126,23.638072446448717,0.0,15.917230401910068,1354.5095233937984,94.55228978579487,0,0,36,4,43.662960281628784,62.825,177.113554892637,26.138072446448717,0.41604572139194135,1,5,23.813434002894276,40,0,0.0
129,LIBRE,23.63903942734455,22.641218605473128,24.80974218525137,2.168523579778242,23.63903942734455,0.0,15.917230401910068,1354.5649333615659,94.5561577093782,0,0,36,4,43.738394034686735,62.825,176.12512588400347,26.13903942734455,0.41606111304965454,1,5,23.813434002894276,40,0,0.0
130,LIBRE,23.639997423024635,22.64599814360353,24.80770820468486,2.1617100610813296,23.639997423024635,0.0,15.917230401910068,1354.6198284582363,94.55998969209854,0,0,36,4,43.81649125216882,62.825,175.1387183507142,26.139997423024635,0.4160763616876185,1,5,23.813434002894276,40,0,0.0
131,LIBRE,23.640946596973507,22.64914298143869,24.805646096524885,2.1565031150861955,23.640946596973507,0.0,15.917230401910068,1354.6742180518047,94.56378638789403,0,0,36,4,43.897044885187825,62.825,174.1543602338396,26.14094659697351,0.41609146990805423,1,5,23.813434002894276,40,0,0.0
132,LIBRE,23.641887106828158,22.652761038766535,24.80355544225005,2.1507944034835162,23.641887106828158,0.0,15.917230401910068,1354.7281111751909,94.56754842731263,0,0,36,4,43.97986170806098,62.825,173.17207989075348,26.141887106828158,0.41610644022010596,1,5,23.813434002894276,40,0,0.0
133,LIBRE,23.6428191046035,22.65681921673124,24.80143581844085,2.144616601709611,23.6428191046035,0.0,15.917230401910068,1354.781516539158,94.571276418414,0,0,36,4,44.06476147087733,62.825,172.19190610004807,26.1428191046035,0.41612127504343016,1,5,23.813434002894276,40,0,0.0
134,LIBRE,23.643742736906866,22.661285861464346,24.799286796822393,2.138000935358047,23.643742736906866,0.0,15.917230401910068,1354.8344425446035,94.57497094762746,0,0,36,4,44.11214412636173,62.825,171.2138680664101,26.143742736906866,0.41613597671160946,1,5,23.813434002894276,40,0,0.0
135,LIBRE,23.64465814514249,22.666130783272433,24.79710794431414,2.130977161041706,23.64465814514249,0.0,15.917230401910068,1354.8868972942773,94.57863258056996,0,0,36,4,44.141591016583334,62.825,170.23799542544725,26.14465814514249,0.4161505474754077,1,5,23.813434002894276,40,0,0.0
136,LIBRE,23.645565465706692,22.671325260715342,24.794898823087127,2.123573562371785,23.645565465706692,0.0,15.917230401910068,1354.9388886039649,94.58226186282677,0,0,35,5,44.17565578635413,62.825,169.26431824846554,26.145565465706692,0.4161649895058765,1,5,23.813434002894276,40,0,0.0
137,LIBRE,23.646464830174285,22.676842031862716,24.792658990628983,2.115816958766267,23.646464830174285,0.0,15.917230401910068,1354.9904240131702,94.58585932069714,0,0,35,5,44.21404958947187,62.825,168.29286704718072,26.146464830174285,0.41617930489732247,1,5,23.813434002894276,40,0,0.0
138,LIBRE,23.647356365476707,22.68265527481622,24.790387999817206,2.107732725000986,23.647356365476707,0.0,15.917230401910068,1355.0415107953227,94.58942546190683,0,0,35,5,44.25649866147842,62.825,167.32367277836306,26.147356365476707,0.4161934956701426,1,5,23.813434002894276,40,0,0.0
139,LIBRE,23.64824019407222,22.68874057938218,24.78808539900111,2.0993448196189277,23.64824019407222,0.0,15.917230401910068,1355.0921559675287,94.59296077628888,0,0,35,5,44.302743837729395,62.825,166.356766848402,26.14824019407222,0.41620756377353313,1,5,23.813434002894276,40,0,0.0
140,LIBRE,23.64911643410844,22.695074911580996,24.785750732092872,2.0906758205118763,23.64911643410844,0.0,15.917230401910068,1355.1423662998866,94.59646573643376,0,0,35,5,44.35254003682303,62.825,165.39218111778644,26.149116434108436,0.416221511088077,1,5,23.813434002894276,40,0,0.0
141,LIBRE,23.649985199577518,22.701636572486994,24.78338353866818,2.0817469661811856,23.649985199577518,0.0,15.917230401910068,1355.1921483243784,94.59994079831007,0,0,35,5,44.40565571966772,62.825,164.42994790548642,26.14998519957752,0.4162353394282136,1,5,23.813434002894276,40,0,0.0
142,LIBRE,23.650846600464266,22.708405152711446,24.78098335407686,2.0725782013654133,23.650846600464266,0.0,15.917230401910068,1355.2415083433561,94.60338640185707,0,0,35,5,44.46187233299179,62.825,163.4700999932295,26.15084660046427,0.4162490505445964,1,5,23.813434002894276,40,0,0.0
