segundo,estado_sistema,vel_media,vel_min,vel_max,v_diff,car_mean_velocity,truck_mean_velocity,densidad_veh_km,flujo_veh_h,eficiencia_pct,coches_parados,coches_atasco,coches_ajustando,coches_libre,gap_min,gap_medio,gap_max,gap_critico_medio,presion_gaps,max_parados,max_en_atasco,max_v_diff,num_cars,num_trucks,truck_pct
11,ATASCO,19.604714967067082,0,23.66236188423689,23.66236188423689,20.070416187560408,19.139013746573756,15.917230401910068,1123.3899543404934,87.13206652029814,1,12,15,12,30.430535612010544,62.825,114.09919960156151,27.63946840371052,0.4399437867681738,1,12,23.66236188423689,20,20,0.5
12,ATASCO,19.506098209116676,0,23.633355312755587,23.633355312755587,19.938838153380978,19.073358264852374,15.917230401910068,1117.7390139724637,86.69376981829635,1,12,16,11,29.49166591754306,62.825,117.97213547931699,27.524437775329766,0.43811281775296085,1,12,23.66236188423689,20,20,0.5
13,ATASCO,19.401767476700318,0,23.59382834638189,23.59382834638189,19.81242195069705,18.991113002703585,15.917230401910068,1111.7606512713273,86.23007767422364,1,12,16,11,28.722795540011703,62.825,126.13370931165932,27.399545727376214,0.43612488225031776,1,12,23.66236188423689,20,20,0.5
14,ATASCO,19.287412874548657,0,23.54352277300476,23.54352277300476,19.691695598908346,18.883130150188972,15.917230401910068,1105.2079004914472,85.72183499799402,1,12,16,11,28.09888606631239,62.825,147.9158791985462,27.258195412095898,0.43387497671461833,1,12,23.66236188423689,20,20,0.5
15,ATASCO,19.232998101908017,2.4993270664567606,23.48177392523822,20.982446858781458,19.701686113886176,18.764310089929857,15.917230401910068,1102.0898235872482,85.47999156403563,0,13,15,12,27.547681029483385,62.825,168.13239562783278,27.17407562439048,0.4325360226723514,1,13,23.66236188423689,20,20,0.5
16,ATASCO,19.18661076191658,4.997456499814947,23.407632694797677,18.41017619498273,19.717009993629333,18.656211530203826,15.917230401910068,1099.4317348650966,85.27382560851812,0,14,14,12,22.831753191982216,62.825,185.6596168357304,27.100663644467534,0.4313675072736575,1,14,23.66236188423689,20,20,0.5
17,ATASCO,19.15249497709786,7.48732261674566,23.319973602112096,15.832650985366437,19.73661728858054,18.56837266561518,15.917230401910068,1097.476831158811,85.12219989821271,0,14,14,12,19.458816112673617,62.825,200.50543059364486,27.044588143501652,0.43047494060488106,1,14,23.66236188423689,20,20,0.5
19,ATASCO,19.133245476439463,9.497331049795568,23.217601323169557,13.72027027337399,19.758670052679413,18.507820900199512,15.917230401910068,1096.3737957052458,85.03664656195316,0,15,13,12,18.861846954780503,62.825,212.69320783457596,27.01020070148934,0.4299275877674387,1,15,23.66236188423689,20,20,0.5
20,ATASCO,19.128057610890703,10.05578038388275,23.099364283969035,13.043583900086285,19.780514802703056,18.475600419078354,15.917230401910068,1096.0765204808044,85.01358938173647,0,17,11,12,20.37374159564729,62.825,222.27541234897132,26.996957715660294,0.42971679611078856,1,17,23.66236188423689,20,20,0.5
21,ATASCO,19.133785238897786,10.967673019826044,22.964279876239576,11.996606856413532,19.79891785463206,18.468652623163518,15.917230401910068,1096.404725189527,85.03904550621239,0,18,10,12,23.461931387402842,62.825,229.34993260691988,27.00094839468867,0.4297803166683433,1,18,23.66236188423689,20,20,0.5
