segundo,estado,num_cars,num_trucks,num_aggressive,num_cautious,avg_velocity,min_velocity,max_velocity,v_diff,car_mean_velocity,truck_mean_velocity,vehicles_cruising,vehicles_braking,vehicles_stopped,vehicles_accelerating,min_gap,avg_gap,max_gap
64,ESTABILIZANDO,21,6,27,0,28.89,25.0,30.0,5.0,30.0,25.0,27,0,0,0,81.08,365.78,2217.44
65,ESTABILIZANDO,21,6,27,0,28.89,25.0,30.0,5.0,30.0,25.0,27,0,0,0,81.08,365.78,2212.44
66,ESTABILIZANDO,21,6,27,0,28.89,25.0,30.0,5.0,30.0,25.0,27,0,0,0,81.08,365.78,2207.44
67,ESTABILIZANDO,21,6,27,0,28.89,25.0,30.0,5.0,30.0,25.0,27,0,0,0,81.08,365.78,2202.44
68,ESTABILIZANDO,21,6,27,0,28.89,25.0,30.0,5.0,30.0,25.0,27,0,0,0,81.08,365.78,2197.44
69,ESTABILIZANDO,21,6,27,0,28.89,25.0,30.0,5.0,30.0,25.0,27,0,0,0,81.08,365.78,2192.44
70,ESTABILIZANDO,21,6,27,0,28.89,25.0,30.0,5.0,30.0,25.0,27,0,0,0,81.08,365.78,2187.44
71,ESTABILIZANDO,21,6,27,0,28.89,25.0,30.0,5.0,30.0,25.0,27,0,0,0,81.08,365.78,2182.44
72,ESTABILIZANDO,21,6,27,0,28.89,25.0,30.0,5.0,30.0,25.0,27,0,0,0,81.08,365.78,2177.44
73,ESTABILIZANDO,21,6,27,0,28.89,25.0,30.0,5.0,30.0,25.0,27,0,0,0,81.08,365.78,2172.44
74,ESTABILIZANDO,21,6,27,0,28.89,25.0,30.0,5.0,30.0,25.0,27,0,0,0,81.08,365.78,2167.44
75,ESTABILIZANDO,21,6,27,0,28.89,25.0,30.0,5.0,30.0,25.0,27,0,0,0,81.08,365.78,2162.44
76,ESTABILIZANDO,21,6,27,0,28.89,25.0,30.0,5.0,30.0,25.0,27,0,0,0,81.08,365.78,2157.44
77,ESTABILIZANDO,21,6,27,0,28.89,25.0,30.0,5.0,30.0,25.0,27,0,0,0,81.08,365.78,2152.44
78,ESTABILIZANDO,21,6,27,0,28.89,25.0,30.0,5.0,30.0,25.0,27,0,0,0,81.08,365.78,2147.44
79,ESTABILIZANDO,21,6,27,0,28.89,25.0,30.0,5.0,30.0,25.0,27,0,0,0,81.08,365.78,2142.44
80,ESTABILIZANDO,21,6,27,0,28.89,25.0,30.0,5.0,30.0,25.0,27,0,0,0,81.08,365.78,2137.44
81,ESTABILIZANDO,21,6,27,0,28.89,25.0,30.0,5.0,30.0,25.0,27,0,0,0,81.08,365.78,2132.44
82,ESTABILIZANDO,21,6,27,0,28.89,25.0,30.0,5.0,30.0,25.0,27,0,0,0,81.08,365.78,2127.44
83,ESTABILIZANDO,21,6,27,0,28.89,25.0,30.0,5.0,30.0,25.0,27,0,0,0,81.08,365.78,2122.44
84,ESTABILIZANDO,21,6,27,0,28.89,25.0,30.0,5.0,30.0,25.0,27,0,0,0,81.08,365.78,2117.44
85,ESTABILIZANDO,21,6,27,0,28.89,25.0,30.0,5.0,30.0,25.0,27,0,0,0,81.08,365.78,2112.44
86,ESTABILIZANDO,21,6,27,0,28.89,25.0,30.0,5.0,30.0,25.0,27,0,0,0,81.08,365.78,2107.44
87,ESTABILIZANDO,21,6,27,0,28.89,25.0,30.0,5.0,30.0,25.0,27,0,0,0,81.08,365.78,2102.44
88,ESTABILIZANDO,21,6,27,0,28.89,25.0,30.0,5.0,30.0,25.0,27,0,0,0,81.08,365.78,2097.44
89,ESTABILIZANDO,21,6,27,0,28.89,25.0,30.0,5.0,30.0,25.0,27,0,0,0,81.08,365.78,2092.44
90,ESTABILIZANDO,21,6,27,0,28.89,25.0,30.0,5.0,30.0,25.0,27,0,0,0,81.08,365.78,2087.44
91,ESTABILIZANDO,21,6,27,0,28.89,25.0,30.0,5.0,30.0,25.0,27,0,0,0,81.08,365.78,2082.44
92,ESTABILIZANDO,21,6,27,0,28.89,25.0,30.0,5.0,30.0,25.0,27,0,0,0,81.08,365.78,2077.44
93,ESTABILIZANDO,21,6,27,0,28.89,25.0,30.0,5.0,30.0,25.0,27,0,0,0,81.08,365.78,2072.44
