segundo,estado_sistema,vel_media,vel_min,vel_max,v_diff,coches_parados,coches_atasco,coches_frenando,coches_normal,coches_acelerando,coches_crucero,gap_min,gap_medio,gap_max,accel_media,coches_acelerando_count,coches_frenando_count,max_stopped_acumulado,max_v_diff_acumulado
62,DISOLVIENDO,27.76,25.47,29.84,4.37,0,0,0,33,0,2,40.14,66.81,270.3,0.01,21,14,1,24.44
63,DISOLVIENDO,27.77,25.53,29.84,4.31,0,0,0,33,0,2,40.37,66.81,268.72,0.01,21,14,1,24.44
64,DISOLVIENDO,27.77,25.57,29.84,4.27,0,0,0,33,0,2,40.6,66.81,267.14,0.01,20,15,1,24.44
65,DISOLVIENDO,27.78,25.6,29.84,4.24,0,0,0,33,0,2,40.85,66.81,265.56,0.01,20,15,1,24.44
66,DISOLVIENDO,27.78,25.63,29.84,4.21,0,0,0,33,0,2,41.09,66.81,263.99,0.01,19,16,1,24.44
67,DISOLVIENDO,27.79,25.66,29.84,4.18,0,0,0,33,0,2,41.35,66.81,262.42,0.0,19,16,1,24.44
68,DISOLVIENDO,27.79,25.69,29.83,4.14,0,0,0,33,0,2,41.47,66.81,260.85,0.0,18,17,1,24.44
69,DISOLVIENDO,27.8,25.73,29.83,4.1,0,0,0,33,0,2,41.59,66.81,259.28,0.0,18,17,1,24.44
70,DISOLVIENDO,27.8,25.77,29.83,4.06,0,0,0,33,0,2,41.73,66.81,257.71,0.0,19,16,1,24.44
71,DISOLVIENDO,27.81,25.8,29.83,4.02,0,0,0,33,0,2,41.88,66.81,256.15,0.0,18,17,1,24.44
72,DISOLVIENDO,27.81,25.84,29.83,3.98,0,0,0,33,0,2,42.05,66.81,254.59,0.0,18,17,1,24.44
73,DISOLVIENDO,27.82,25.88,29.82,3.94,0,0,0,33,0,2,42.22,66.81,253.03,0.0,17,18,1,24.44
74,DISOLVIENDO,27.82,25.91,29.82,3.92,0,0,0,33,0,2,42.4,66.81,251.47,0.0,17,18,1,24.44
75,DISOLVIENDO,27.82,25.92,29.82,3.9,0,0,0,33,0,2,42.58,66.81,249.91,0.0,16,19,1,24.44
76,DISOLVIENDO,27.83,25.94,29.82,3.87,0,0,0,33,0,2,42.78,66.81,248.36,0.0,16,19,1,24.44
