segundo,estado_sistema,vel_media,vel_min,vel_max,v_diff,densidad_veh_km,flujo_veh_h,eficiencia_pct,coches_parados,coches_acelerando,coches_decelerando,coches_constante,gap_min,gap_medio,gap_max,energia_disipada_acum,tiempo_perdido_acum,vel_onda_kmh,max_parados,max_v_diff
57,DISOLVIENDO,23.13,20.62,24.91,4.29,15.92,1325.0,108.9,0,0,0,40,31.39,57.83,267.21,2939.9,0,0,2,23.61
58,DISOLVIENDO,23.14,20.7,24.91,4.21,15.92,1326.0,108.9,0,0,0,40,31.66,57.83,265.91,2946.9,0,0,2,23.61
59,DISOLVIENDO,23.14,20.76,24.91,4.15,15.92,1326.0,108.9,0,0,0,40,31.93,57.83,264.62,2953.8,0,0,2,23.61
60,DISOLVIENDO,23.15,20.79,24.91,4.12,15.92,1326.0,108.9,0,0,0,40,32.2,57.83,263.32,2960.5,0,0,2,23.61
61,DISOLVIENDO,23.16,20.83,24.91,4.08,15.92,1327.0,109.0,0,0,0,40,32.47,57.83,262.03,2967.1,0,0,2,23.61
62,DISOLVIENDO,23.16,20.87,24.91,4.04,15.92,1327.0,109.0,0,0,0,40,32.64,57.83,260.74,2973.6,0,0,2,23.61
63,DISOLVIENDO,23.16,20.91,24.91,3.99,15.92,1327.0,109.0,0,0,0,40,32.76,57.83,259.45,2979.8,0,0,2,23.61
64,DISOLVIENDO,23.17,20.96,24.9,3.95,15.92,1328.0,109.0,0,0,0,40,32.91,57.83,258.15,2985.9,0,0,2,23.61
65,DISOLVIENDO,23.17,21.0,24.9,3.9,15.92,1328.0,109.1,0,0,0,40,33.06,57.83,256.87,2991.8,0,0,2,23.61
66,DISOLVIENDO,23.18,21.05,24.9,3.85,15.92,1328.0,109.1,0,0,0,40,33.23,57.83,255.58,2997.6,0,0,2,23.61
67,DISOLVIENDO,23.18,21.09,24.9,3.81,15.92,1328.0,109.1,0,0,0,40,33.41,57.83,254.29,3003.3,0,0,2,23.61
68,DISOLVIENDO,23.19,21.14,24.9,3.76,15.92,1328.0,109.1,0,0,0,40,33.6,57.83,253.0,3009.0,0,0,2,23.61
69,DISOLVIENDO,23.19,21.17,24.9,3.73,15.92,1329.0,109.1,0,0,0,40,33.79,57.83,251.72,3014.6,0,0,2,23.61
70,DISOLVIENDO,23.19,21.19,24.9,3.71,15.92,1329.0,109.1,0,0,0,40,33.99,57.83,250.43,3020.2,0,0,2,23.61
71,DISOLVIENDO,23.2,21.21,24.9,3.68,15.92,1329.0,109.2,0,0,0,40,34.19,57.83,249.15,3025.6,0,0,2,23.61
72,DISOLVIENDO,23.2,21.24,24.9,3.66,15.92,1329.0,109.2,0,0,0,40,34.32,57.83,247.87,3030.9,0,0,2,23.61
73,DISOLVIENDO,23.2,21.27,24.9,3.63,15.92,1329.0,109.2,0,0,0,40,34.41,57.83,246.58,3036.2,0,0,2,23.61
