segundo,estado_sistema,vel_media,vel_min,vel_max,v_diff,densidad_veh_km,flujo_veh_h,eficiencia_pct,coches_parados,coches_acelerando,coches_decelerando,coches_constante,gap_min,gap_medio,gap_max,energia_disipada_acum,tiempo_perdido_acum,vel_onda_kmh,max_parados,max_v_diff
57,DISOLVIENDO,28.18,25.64,29.91,4.27,11.94,1211.0,110.5,0,0,0,30,41.27,78.78,340.41,296.8,0,0,1,28.71
58,DISOLVIENDO,28.18,25.7,29.91,4.2,11.94,1211.0,110.5,0,0,0,30,41.47,78.78,339.25,297.3,0,0,1,28.71
59,DISOLVIENDO,28.19,25.77,29.91,4.14,11.94,1211.0,110.6,0,0,0,30,41.69,78.78,338.08,297.8,0,0,1,28.71
60,DISOLVIENDO,28.2,25.82,29.91,4.08,11.94,1212.0,110.6,0,0,0,30,41.92,78.78,336.92,298.3,0,0,1,28.71
61,DISOLVIENDO,28.2,25.88,29.91,4.02,11.94,1212.0,110.6,0,0,0,30,42.17,78.78,335.75,298.8,0,0,1,28.71
62,DISOLVIENDO,28.21,25.94,29.91,3.97,11.94,1212.0,110.6,0,0,0,30,42.42,78.78,334.59,299.3,0,0,1,28.71
63,DISOLVIENDO,28.22,26.0,29.91,3.91,11.94,1212.0,110.6,0,0,0,30,42.68,78.78,333.43,299.8,0,0,1,28.71
64,DISOLVIENDO,28.22,26.05,29.91,3.86,11.94,1213.0,110.7,0,0,0,30,42.95,78.78,332.27,300.3,0,0,1,28.71
65,DISOLVIENDO,28.23,26.1,29.9,3.8,11.94,1213.0,110.7,0,0,0,30,43.22,78.78,331.1,300.7,0,0,1,28.71
66,DISOLVIENDO,28.23,26.13,29.9,3.77,11.94,1213.0,110.7,0,0,0,30,43.5,78.78,329.94,301.2,0,0,1,28.71
67,DISOLVIENDO,28.24,26.16,29.9,3.75,11.94,1213.0,110.7,0,0,0,30,43.78,78.78,328.78,301.6,0,0,1,28.71
68,DISOLVIENDO,28.24,26.18,29.9,3.72,11.94,1214.0,110.7,0,0,0,30,44.06,78.78,327.62,302.1,0,0,1,28.71
69,DISOLVIENDO,28.25,26.21,29.9,3.69,11.94,1214.0,110.8,0,0,0,30,44.34,78.78,326.46,302.5,0,0,1,28.71
70,DISOLVIENDO,28.25,26.24,29.9,3.66,11.94,1214.0,110.8,0,0,0,30,44.59,78.78,325.31,303.0,0,0,1,28.71
